iteration,epsilon,target_count,gray_before,gray_after,positive_gray_after,negative_gray_after,movable_count,monitored_count,global_energy_before,global_energy_after,local_zero_energy,global_zero_energy,singular_preservation_energy,max_abs_defect_outside_singular,max_step,max_cumulative_displacement,max_relative_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_sum,gauss_bonnet_residual,accepted,backtracking_scale,optimizer_success,optimizer_message
0,0.1,26,26,27,21,6,104,222,1.1945397462716572,0.872751408312982,2.051901922805903,2.9044801890376077,0.0009424860547100705,0.379846566276254,0.0028972011278168004,0.0028972011278168004,0.08746333527413981,0.9031872564121426,0.4321859650206753,12.566370614357636,1.7763568394002505e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.1,27,27,33,31,2,107,227,0.872751408312982,0.639999217547892,1.8363998675140643,2.687575679046721,0.0006926931349953455,0.3677977204057067,0.0028612450227895386,0.005758429056750179,0.09275116123409674,0.8984714414526063,0.412461933977519,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
2,0.1,33,33,30,28,2,122,238,0.639999217547892,0.46227478347616724,1.5691639420331907,2.47264149516739,0.0017255966738039677,0.33851869865175055,0.0026316518519002665,0.007829375562531176,0.0722216969548438,0.9181299726654086,0.40345125704067375,12.56637061435763,-3.552713678800501e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.1,30,30,33,28,5,109,208,0.46227478347616724,0.31718227743580774,1.3807596162107283,2.321112099869642,0.006988388289749698,0.30319491879475746,0.002564923038640052,0.009827956090005353,0.03508230422968847,0.9586807176168602,0.403922497946936,12.566370614357622,-1.2434497875801753e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
4,0.1,33,33,43,41,2,122,220,0.31718227743580774,0.1969045725954237,1.3081161350003105,2.2470030741960536,0.015913838146586604,0.2636613055036874,0.0025855856399295547,0.012306939000683364,0.034224455973119586,0.9365060286551046,0.39170442697292174,12.566370614357627,-7.105427357601002e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,0.1,43,43,42,38,4,126,210,0.1969045725954237,0.17279678371574328,1.2324877155425538,2.2160351640914415,0.02861671920618474,0.2557829577415488,0.002607478252213432,0.01294119862959409,0.021349673346934002,0.9983300777318432,0.39170442697292174,12.56637061435763,-3.552713678800501e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.1,42,42,33,32,1,134,226,0.17279678371574328,0.16492405575766947,1.18624768294581,2.1697951438406875,0.029557369118340525,0.263426467063393,0.0025361734404751686,0.012942131259134647,0.019774103416118217,0.9861352747866396,0.39170442697292174,12.566370614357625,-8.881784197001252e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.1,33,33,25,25,0,106,190,0.16492405575766947,0.16451173838162858,1.140992814005352,2.157186397308903,0.022836987022389187,0.2635743650527431,0.0024090577090305973,0.012942132048872776,0.017517020703164007,0.9832613279459038,0.39170442697292174,12.566370614357632,-1.7763568394002505e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.1,25,25,24,23,1,88,168,0.16451173838162858,0.16448678896853186,1.1454582844491004,2.1661242577740247,0.02003225267482946,0.262112595638753,0.0017199304860096975,0.012942132049832517,0.012056117753508833,0.9879414624860575,0.39170442697292174,12.566370614357629,-5.329070518200751e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
9,0.1,24,24,25,24,1,88,169,0.16448678896853186,0.16444540683826525,1.1457324461531275,2.1663182919896746,0.01986142253727658,0.26266145025578214,0.00010055390134210688,0.012942132049834099,0.000795054650739958,0.9990087369441164,0.39170442697292174,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
10,0.1,25,25,25,24,1,89,171,0.16444540683826525,0.16444043492765636,1.145399365145744,2.165985164169764,0.019579259871394354,0.2632737852310525,0.00010062241161730121,0.012942132049834099,0.0007878870071115378,0.9991902421363024,0.39170442697292174,12.566370614357634,0.0,True,0.5,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
11,0.1,25,25,25,24,1,89,171,0.16444043492765636,0.16444043492765636,1.145399365145744,2.165985164169764,0.019579259871394354,0.2632737852310525,0.0,0.012942132049834099,0.0,1.0,1.0,12.566370614357634,0.0,False,0.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
