vertex,x,y,z,angle_defect_radians
277,3.36291,15.4688,-1.15891,0.1530739712906828
278,3.28764,15.4316,-1.22857,-0.10639277572398909
281,3.21514,15.401,-1.3044,-0.11917124842690718
282,3.14626,15.3783,-1.38592,-0.14177726109640698
319,2.79093,15.4688,-1.15892,-0.2915525124744187
546,2.27379,12.6243,-2.22601,0.39302015923309086
547,2.1779,12.6055,-2.2227,0.19580608603520222
553,1.5785,12.6055,-2.2227,0.1964884969489321
554,1.48291,12.6243,-2.226,0.38905112205039405
555,1.40201,12.6774,-2.23537,0.39144731679262523
556,2.35483,12.6778,-2.23544,0.3910109763877053
566,1.34756,12.7574,-2.24947,0.39329454329941294
579,2.40888,12.7576,-2.24951,0.39103669362499593
589,1.3285,12.8517,-2.26611,0.19664481880601958
602,2.4279,12.8517,-2.26611,0.19658462978326807
1286,4.8279,17.641899,-0.514801,0.3457084462440194
1906,1.48195,12.8194,0.0,0.39195344501659757
1907,1.5785,12.8,0.0,0.19748045053797925
1911,1.40143,12.8735,0.0,0.3905187856605534
1918,1.34748,12.9545,0.0,0.39070571185606473
1927,1.3285,13.05,0.0,0.19610956648462408
2022,2.1779,12.8,0.0,0.1944114028666314
2060,2.27298,12.8188,0.0,0.3876055969113298
2101,2.35358,12.8721,0.0,0.3894288030841424
2140,2.40812,12.9525,0.0,0.3954321775646015
2141,2.4279,13.05,0.0,0.20007593039839355
