vertex,angle_defect_radians,gaussian_curvature,reason
25,1.55442217848,184.89168273,angle_defect
42,-0.0363356388681,-4.68539489727,angle_defect
48,-0.0137689966607,-0.997644325578,angle_defect
59,-0.0386396672967,-3.66121279476,angle_defect
65,-0.0123958059342,-1.65664649469,angle_defect
76,-0.0377066260185,-4.20320459105,angle_defect
81,-0.0162422987919,-1.73283442456,angle_defect
91,-0.0368396275242,-4.11822987111,angle_defect
92,-0.0378743906425,-4.25046519769,angle_defect
98,-0.0192818237068,-2.53832689514,angle_defect
107,-0.0386561733522,-4.34187959081,angle_defect
114,-0.0218706933869,-2.36537959471,angle_defect
120,-0.0365719848562,-4.09863537641,angle_defect
128,-0.0266408019416,-2.43699961541,angle_defect
131,-0.0369728990031,-4.14369292094,angle_defect
141,-0.0290956380123,-3.0057541629,angle_defect
142,-0.0384271507829,-4.32949415847,angle_defect
147,-0.0370093865881,-4.98677082838,angle_defect
153,-0.0333581606073,-3.44624686631,angle_defect
159,-0.037327653683,-4.18812825347,angle_defect
165,-0.0379393034913,-3.91596861685,angle_defect
169,-0.0381178826782,-4.27258981956,angle_defect
177,-0.0418384719995,-4.29539963072,angle_defect
179,-0.037378739387,-3.59531806242,angle_defect
188,-0.048769061062,-4.27704300379,angle_defect
189,-0.0381513959136,-4.27182674348,angle_defect
198,-0.0532928907967,-5.47270407323,angle_defect
199,-0.0369507868876,-4.14169545446,angle_defect
208,-0.0599414484097,-7.46114396783,angle_defect
209,-0.0375770599883,-4.21818208826,angle_defect
218,-0.0700012943031,-5.92985358387,angle_defect
219,-0.0375757621162,-4.22078417877,angle_defect
228,-0.0525402294001,-6.44205928927,angle_defect
229,-0.0377614559213,-4.23979833381,angle_defect
232,-0.0376324069095,-4.22198975437,angle_defect
233,-0.0368653787733,-4.94927951776,angle_defect
234,-0.0387212396212,-4.34231410768,angle_defect
235,-0.0382651338794,-3.55885216073,angle_defect
236,-0.021175080366,-1.99836946614,angle_defect
242,-0.0301833832044,-4.85907206853,angle_defect
254,-0.0302890437586,-4.38132021209,angle_defect
264,-0.0302246040991,-3.23099583884,angle_defect
271,-0.0301692445984,-3.13167403333,angle_defect
276,-0.0152068172621,-1.80998160354,angle_defect
277,0.153073971291,15.8944531576,angle_defect
278,-0.106392775724,-12.4558994914,angle_defect
281,-0.119171248427,-12.4436771581,angle_defect
282,-0.141777261096,-9.82299934359,angle_defect
283,-0.099646640164,-9.50809850305,angle_defect
284,-0.0257564183555,-2.6971035038,angle_defect
289,-0.0491290547368,-6.90516139907,angle_defect
293,-0.0516919832087,-6.31835066757,angle_defect
303,-0.060137971926,-5.75286224981,angle_defect
315,-0.0632175660345,-6.92471348703,angle_defect
318,-0.0703468230291,-9.91012547042,angle_defect
319,-0.291552512474,-41.9097633319,angle_defect
331,-0.076263578519,-11.5942788189,angle_defect
333,-0.0903292026658,-13.0908684374,angle_defect
546,0.393020159233,45.3191992574,angle_defect
547,0.195806086035,21.7637360532,angle_defect
553,0.196488496949,19.492550844,angle_defect
554,0.38905112205,46.2893494938,angle_defect
555,0.391447316793,42.2018715363,angle_defect
556,0.391010976388,52.8350866045,angle_defect
566,0.393294543299,50.4901647587,angle_defect
570,1.54651540244,362.93672063,angle_defect
571,1.54738000896,186.969743663,angle_defect
579,0.391036693625,43.6847418701,angle_defect
589,0.196644818806,17.7879271251,angle_defect
602,0.196584629783,17.9258346601,angle_defect
625,1.38725628211,181.970202947,angle_defect
666,1.55016775771,159.743726407,angle_defect
684,-1.54729094303,-126.391511785,angle_defect
690,-1.3935731531,-95.8522547021,angle_defect
703,-1.54618383973,-102.466855097,angle_defect
766,-0.0490435437756,-3.94020393286,angle_defect
797,-0.0985470384588,-9.42204495759,angle_defect
828,-0.0982147229274,-9.73069927943,angle_defect
855,-0.0963640458322,-9.70696925711,angle_defect
880,-0.099297917833,-9.9623219168,angle_defect
903,-0.0968419763351,-9.67223798544,angle_defect
924,-0.0990013621044,-9.8574752383,angle_defect
941,-0.0965293845719,-9.59522980717,angle_defect
954,-0.098452967136,-9.75366963433,angle_defect
965,-0.0972414941579,-9.63767403447,angle_defect
976,-0.0986197391634,-9.74561475455,angle_defect
988,-0.0968050155306,-9.51776681833,angle_defect
998,-0.0968569739533,-9.48809159452,angle_defect
1008,-0.0999082553197,-9.7297709952,angle_defect
1017,-0.0961438542785,-9.1831671843,angle_defect
1028,-0.0991248870963,-9.02031679344,angle_defect
1037,-0.0502514467076,-4.48632016405,angle_defect
1064,1.5678791233,150.711515309,angle_defect
1073,1.57404316405,147.942842669,angle_defect
1267,1.56763241449,187.650587338,angle_defect
1274,1.38473848741,141.810622572,angle_defect
1279,1.58816865721,245.344639367,angle_defect
1286,0.345708446244,36.9044621383,angle_defect
1382,1.5461076476,129.252592884,angle_defect
1386,-1.55276733137,-137.710617833,angle_defect
1400,1.54809991666,180.253602495,angle_defect
1408,-1.54707305492,-121.652129401,angle_defect
1448,1.54780698482,218.994380465,angle_defect
1498,-1.5477810258,-200.900714561,angle_defect
1537,1.56187427354,213.753126451,angle_defect
1539,1.38680533891,192.239882397,angle_defect
1542,-0.045472106435,-4.29272410432,angle_defect
1545,-0.0447723079081,-5.20690485896,angle_defect
1548,-0.0468059602889,-3.95090855975,angle_defect
1551,-0.044877311212,-4.62273337166,angle_defect
1557,-0.0449625986304,-4.6135688467,angle_defect
1563,-0.0470494147025,-5.49442499609,angle_defect
1568,-0.0449655801622,-5.12532738504,angle_defect
1573,-0.0456242319516,-5.10631926725,angle_defect
1578,-0.0454065257394,-4.79188568132,angle_defect
1583,-0.0465568996449,-5.86322570695,angle_defect
1590,-0.0447634769008,-4.05913712919,angle_defect
1598,-0.0458806219553,-4.8131369145,angle_defect
1606,-0.0461535627515,-4.96823023794,angle_defect
1619,-1.39438256142,-109.753253624,angle_defect
1625,-0.0453311126165,-4.93542082687,angle_defect
1642,-0.0445430749646,-4.61771599138,angle_defect
1658,-0.0468016541561,-4.84897822688,angle_defect
1674,-0.0450261802542,-4.66427702359,angle_defect
1688,-0.0463520604586,-4.80221553067,angle_defect
1699,-0.0445935252341,-4.61914599643,angle_defect
1708,-0.0467592745189,-4.84428068263,angle_defect
1717,-0.0452557701873,-4.6874137259,angle_defect
1725,-0.0453998945458,-5.71686982197,angle_defect
1733,-0.044950156089,-3.97729177644,angle_defect
1740,-0.0469001054678,-4.7350497329,angle_defect
1745,-0.0445725853178,-4.23006366342,angle_defect
1750,-0.0460744528233,-5.34910778425,angle_defect
1755,-0.0459354671465,-3.12121603916,angle_defect
1759,-0.0454680344636,-5.39504145445,angle_defect
1763,-0.0457404330965,-4.52880945617,angle_defect
1767,-0.045247761663,-4.00798365378,angle_defect
1771,-0.0456170043463,-4.77388795143,angle_defect
1775,-0.0465419824311,-5.93083354065,angle_defect
1779,-0.0445420780279,-4.02938346969,angle_defect
1783,-0.039759794737,-4.21600560841,angle_defect
1786,0.0467594594619,4.6734008977,angle_defect
1787,-0.0406879445245,-4.42710023307,angle_defect
1790,0.0473108721744,7.060797631,angle_defect
1791,-0.0406867343823,-4.50455780338,angle_defect
1794,0.0477983647608,4.78917005055,angle_defect
1795,-0.0401710600605,-4.5002607799,angle_defect
1798,0.0478050211312,4.78130719979,angle_defect
1799,-0.0414859053426,-4.67915625285,angle_defect
1802,0.0472208717153,4.72538085557,angle_defect
1803,-0.0407700129459,-5.67087246102,angle_defect
1806,0.0483804909332,4.83322032169,angle_defect
1807,-0.0423438613414,-4.76838192411,angle_defect
1810,0.0470764649357,4.70741723608,angle_defect
1811,-0.0417578402342,-4.7918357934,angle_defect
1814,0.0475388807829,4.12418048354,angle_defect
1815,-0.0417278872516,-4.0679109288,angle_defect
1818,0.0474190815698,4.81138275761,angle_defect
1819,-0.0432299411147,-6.03118341807,angle_defect
1822,0.0483471541822,4.96807129106,angle_defect
1823,-0.0433825180739,-4.93392318925,angle_defect
1826,0.0468943517273,4.87447210165,angle_defect
1827,-0.0430640226273,-4.99468421762,angle_defect
1830,0.0481823770113,5.08023344764,angle_defect
1833,0.0474950439452,5.05475901382,angle_defect
1836,0.047658505962,5.2525093631,angle_defect
1839,0.0473834611292,6.14872973165,angle_defect
1842,0.0479706886491,5.01920078198,angle_defect
1845,0.0475686894029,4.89625831287,angle_defect
1846,-0.0476214334638,-5.52771963592,angle_defect
1849,0.046904100086,4.82496882429,angle_defect
1850,-0.0478099340979,-7.31820431068,angle_defect
1853,0.0478284512525,4.8033295691,angle_defect
1854,-0.0471479159392,-5.7791889699,angle_defect
1857,0.0481078609694,4.82504433565,angle_defect
1858,-0.0476550970304,-5.84298705328,angle_defect
1861,0.0463788636425,4.64642130011,angle_defect
