vertex,x,y,z,angle_defect_radians,gaussian_curvature,sign,component
25,1e-06,15.435,-8e-06,1.55442217848,184.89168273,positive,9
198,1.35173,15.8086,-0.859975,-0.0532928907967,-5.47270407323,negative,8
208,1.43075,15.8627,-0.838574,-0.0599414484097,-7.46114396783,negative,8
218,1.50847,15.9202,-0.820972,-0.0700012943031,-5.92985358387,negative,8
228,1.58433,15.9807,-0.807706,-0.0525402294001,-6.44205928927,negative,8
277,3.36291,15.4688,-1.15891,0.153073971291,15.8944531576,positive,3
278,3.28764,15.4316,-1.22857,-0.106392775724,-12.4558994914,negative,3
281,3.21514,15.401,-1.3044,-0.119171248427,-12.4436771581,negative,3
282,3.14626,15.3783,-1.38592,-0.141777261096,-9.82299934359,negative,3
283,3.08016,15.3644,-1.47466,-0.099646640164,-9.50809850305,negative,3
293,3.12203,15.8184,-0.855734,-0.0516919832087,-6.31835066757,negative,2
303,3.07055,15.7459,-0.891132,-0.060137971926,-5.75286224981,negative,2
315,3.01638,15.6791,-0.933092,-0.0632175660345,-6.92471348703,negative,2
318,2.96045,15.6181,-0.981026,-0.0703468230291,-9.91012547042,negative,2
319,2.79093,15.4688,-1.15892,-0.291552512474,-41.9097633319,negative,2
331,2.9042,15.5627,-1.03451,-0.076263578519,-11.5942788189,negative,2
333,2.84775,15.5132,-1.09333,-0.0903292026658,-13.0908684374,negative,2
546,2.27379,12.6243,-2.22601,0.393020159233,45.3191992574,positive,4
547,2.1779,12.6055,-2.2227,0.195806086035,21.7637360532,positive,4
553,1.5785,12.6055,-2.2227,0.196488496949,19.492550844,positive,5
554,1.48291,12.6243,-2.226,0.38905112205,46.2893494938,positive,5
555,1.40201,12.6774,-2.23537,0.391447316793,42.2018715363,positive,5
556,2.35483,12.6778,-2.23544,0.391010976388,52.8350866045,positive,4
566,1.34756,12.7574,-2.24947,0.393294543299,50.4901647587,positive,5
570,3.1864,14.8952,-2.62643,1.54651540244,362.93672063,positive,10
571,3.1864,14.0828,-2.48317,1.54738000896,186.969743663,positive,11
