epsilon_radians,near_zero_vertices,near_zero_percent,seed,seed_patch_vertices,gray_vertices,positive_outside,negative_outside,near_zero_components,largest_component,max_abs_angle_defect,total_abs_angle_defect
0.001,5714,88.24710425,248,5550,761,262,499,2,5550,1.588168657,58.85728163
0.005,5952,91.92277992,248,5788,523,237,286,2,5788,1.588168657,58.85728163
0.01,6066,93.68339768,248,6066,409,187,222,1,6066,1.588168657,58.85728163
0.02,6071,93.76061776,248,6071,404,187,217,1,6071,1.588168657,58.85728163
0.05,6385,98.61003861,248,6385,90,37,53,1,6385,1.588168657,58.85728163
0.1,6427,99.25868726,248,6427,48,37,11,1,6427,1.588168657,58.85728163
0.2,6438,99.42857143,248,6438,37,29,8,1,6438,1.588168657,58.85728163
0.5,6453,99.66023166,248,6453,22,15,7,1,6453,1.588168657,58.85728163
1,6453,99.66023166,248,6453,22,15,7,1,6453,1.588168657,58.85728163
1.6,6475,100,248,6475,0,0,0,1,6475,1.588168657,58.85728163
