iteration,epsilon,target_count,gray_before,gray_after,positive_gray_after,negative_gray_after,movable_count,monitored_count,global_energy_before,global_energy_after,local_zero_energy,global_zero_energy,singular_preservation_energy,max_abs_defect_outside_singular,max_step,max_cumulative_displacement,max_relative_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_sum,gauss_bonnet_residual,accepted,backtracking_scale,optimizer_success,optimizer_message
0,0.1,26,26,26,21,5,221,366,1.1945397462716572,0.8725119553725116,2.0882712996274653,2.9070493198758047,3.278256050627575e-05,0.379846566276254,0.0028972011278168004,0.0028972011278168004,0.08746333527413981,0.9031808550423371,0.43203725532089327,12.56637061435763,-3.552713678800501e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.1,26,26,26,25,1,220,364,0.8725119553725116,0.63657783934234,1.810346436374119,2.629462587437274,0.0007254029689153139,0.3677980726035739,0.002609451356714572,0.00519786160678689,0.09274470844626896,0.8981805082224112,0.4125145196108494,12.566370614357652,1.7763568394002505e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
2,0.1,26,26,32,28,4,200,329,0.63657783934234,0.4517132481494687,1.548794630473583,2.4490369520681536,0.0007798123837919013,0.34660006335268323,0.002631521963990231,0.007829224086133587,0.09804691969830899,0.8927938231782393,0.38603366771117875,12.566370614357645,1.0658141036401503e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.1,32,32,33,28,5,213,318,0.4517132481494687,0.30687093949329436,1.3995810854028332,2.3398550217000817,0.0011019049644671209,0.3004987142402754,0.0025966390265894433,0.010425586803017717,0.035628420846040273,0.9577819975610382,0.3844384400948593,12.566370614357641,7.105427357601002e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
4,0.1,33,33,42,40,2,230,354,0.30687093949329436,0.18827580960795154,1.2908836437478393,2.230206714297639,0.000986961060512049,0.26283955746851095,0.0025892704420232395,0.01230689242215121,0.021618977514329094,0.9793854533309257,0.3838882339438397,12.566370614357636,1.7763568394002505e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,0.1,42,42,40,36,4,207,293,0.18827580960795154,0.16789864491189532,1.1908699087068915,2.1962478175497613,0.0020147090610754537,0.26044713476876613,0.002525110584844358,0.012941620981066642,0.022519515965991287,0.9867978802586564,0.3838882339438397,12.56637061435764,5.329070518200751e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.1,40,40,27,26,1,225,332,0.16789864491189532,0.16597531526883483,1.187101874666148,2.176544029478388,0.000376061936522198,0.2633684940611075,0.002537102778450284,0.012942131579229445,0.01677950688534212,0.988809060727926,0.3838882339438397,12.566370614357627,-7.105427357601002e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.1,27,27,28,25,3,193,303,0.16597531526883483,0.16589860639693021,1.1952008424351819,2.1816269649949693,0.00026674823939219045,0.26334057436727887,0.0011411398798727018,0.012942132049292303,0.005581160149055762,0.9939793125204728,0.3838882339438397,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.1,28,28,28,25,3,207,323,0.16589860639693021,0.16589564011250596,1.195301474013713,2.1815795934708717,0.0002537278719695966,0.263471109370228,4.06224028119254e-05,0.012942132049832935,0.0003231350295301505,0.9997101267191655,0.3838882339438397,12.566370614357638,3.552713678800501e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
9,0.1,28,28,28,25,3,208,324,0.16589564011250596,0.16589531822628734,1.1953276574040865,2.1815963363156907,0.0002526128613229635,0.2635399849970794,7.044339451259591e-06,0.012942132049833903,7.944256237687456e-05,0.9999203571388283,0.3838882339438397,12.56637061435763,-3.552713678800501e-15,True,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
