vertex,x,y,z,angle_defect_radians
25,1e-06,15.435,-8e-06,1.5544221784817576
570,3.1864,14.8952,-2.62643,1.5465154024384087
571,3.1864,14.0828,-2.48317,1.5473800089572105
625,2.7029,13.2408,-2.33471,1.3872562821053167
666,2.6989,15.2005,-2.68026,1.5501677577141242
684,2.7029,14.0828,-2.48317,-1.5472909430320274
690,2.4279,13.1952,-2.32666,-1.3935731531032314
703,2.6989,14.8952,-2.62643,-1.546183839734388
1064,0.0,14.4619,-2.55002,1.5678791233012048
1073,0.0,15.2005,-2.68026,1.5740431640503305
1267,0.0,14.685,0.0,1.5676324144939193
1274,4.8279,17.843599,-0.479237,1.3847384874056194
1279,4.8279,17.85,0.0,1.5881686572137639
1382,4.8279,15.5702,-0.583604,1.5461076476006157
1386,4.8279,15.6444,-0.162599,-1.5527673313706063
1400,4.8279,15.1803,-1.00987,1.5480999166559393
1408,4.8279,15.2649,-0.529773,-1.5470730549234628
1448,4.8279,14.3678,-0.866607,1.5478069848244032
1498,4.8279,14.4517,-0.390453,-1.5477810258010056
1537,4.8279,13.612,0.0,1.5618742735377964
1539,4.8279,13.6098,-0.241995,1.3868053389109496
1619,2.42792,13.3987,0.0,-1.39438256141992
