iteration,epsilon,target_count,gray_before,gray_after,positive_gray_after,negative_gray_after,movable_count,monitored_count,global_energy_before,global_energy_after,local_zero_energy,global_zero_energy,singular_preservation_energy,max_abs_defect_outside_singular,max_step,max_cumulative_displacement,max_relative_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_sum,gauss_bonnet_residual,accepted,backtracking_scale,optimizer_success,optimizer_message
0,0.1,26,26,26,21,5,104,222,1.1945397462716572,0.8728649944894848,2.0509950657285643,2.903573331960269,0.0009424860547100705,0.379846566276254,0.0028972011278168004,0.0028972011278168004,0.08746333527413981,0.9031872564121426,0.4321859650206753,12.566370614357632,-1.7763568394002505e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.1,26,26,34,31,3,104,221,0.8728649944894848,0.6399402511896799,1.8358658805510215,2.6878458990700036,0.0006926260227816128,0.3677977905930899,0.0026094450866553692,0.005383482352981454,0.09275116123409674,0.8984346879892195,0.4124543470894573,12.566370614357622,-1.2434497875801753e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
2,0.1,34,34,31,28,3,130,262,0.6399402511896799,0.4621559411613642,1.6178730898154703,2.474366913880307,0.001740728767277753,0.33883070310231345,0.0026316694569536495,0.007829395355625513,0.07326406757825933,0.9171122086957885,0.4030772641772101,12.56637061435763,-3.552713678800501e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.1,31,31,35,28,7,116,229,0.4621559411613642,0.31698676433148815,1.424416808132467,2.3222310347267756,0.0070032051158962424,0.3026351716173429,0.0025649435220445904,0.009909879383357077,0.035084320766924,0.9586844916302166,0.4042801936425886,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
4,0.1,35,35,43,41,2,136,254,0.31698676433148815,0.19672814997027493,1.354604911832576,2.2427496452961213,0.01592821254028535,0.2637437996123837,0.002585643635256455,0.01230694462210335,0.036007715081367485,0.9660416264013592,0.4078330455660479,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,0.1,43,43,42,38,4,126,210,0.19672814997027493,0.17266900031447352,1.2322358912055922,2.2115263980883864,0.028630118655688222,0.2557274693001831,0.002607585785374593,0.012941226644456348,0.021348559546649434,0.9983349203900422,0.4078330455660479,12.566370614357625,-8.881784197001252e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.1,42,42,33,32,1,134,226,0.17266900031447352,0.16488596786185136,1.185052028978526,2.1643425413485757,0.029666586384052708,0.2634910504410045,0.0025368887407428865,0.012942131290201513,0.020002651363466434,0.9881562628321893,0.4078330455660479,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.1,33,33,25,25,0,108,194,0.16488596786185136,0.1645122326149011,1.1516427188715468,2.1520148404232886,0.022714648460754334,0.26387122318705647,0.0024101223538138274,0.012942132048928764,0.017527289061675683,0.9832601390156008,0.4078330455660479,12.566370614357636,1.7763568394002505e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.1,25,25,26,25,1,88,168,0.1645122326149011,0.16443654375903663,1.146656442234316,2.1612141156935145,0.020319369979181306,0.26272314057596735,0.0017270425561882346,0.0129421320498329,0.012092398247557113,0.9879051108830882,0.4078330455660479,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
9,0.1,26,26,25,24,1,92,176,0.16443654375903663,0.16443250198786985,1.156352970204114,2.160979847698382,0.019853512992195364,0.263260687942653,0.0001401626762139152,0.012942132049833514,0.0010148571117229548,0.9989201807419581,0.4078330455660479,12.56637061435764,5.329070518200751e-15,True,0.5,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
10,0.1,25,25,25,24,1,89,171,0.16443250198786985,0.16443215156085633,1.1464507780369972,2.160932518920434,0.019796387427365808,0.2632258660702912,1.7132505223531916e-05,0.012942132049833514,0.0001341273830466484,0.9998622704398054,0.4078330455660479,12.566370614357634,0.0,True,0.25,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,0.1,25,25,25,24,1,89,171,0.16443215156085633,0.164432107125291,1.146443754401651,2.1609254952850883,0.01977451169140288,0.26314475311568686,4.069032866009229e-06,0.012942132049833514,4.2073123235097096e-05,0.9999658327688447,0.4078330455660479,12.566370614357634,0.0,True,0.5,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
