iteration,direction_mode,ray_count,gray_before,gray_after,accepted_vertex_updates,sign_change_brackets,tested_candidates,energy_before,energy_after,max_step,max_cumulative_displacement,gauss_bonnet_sum,gauss_bonnet_residual
0,cone,30,26,25,25,0,4500,1.1945397462716572,1.0395523049824476,0.002290015809656667,0.002290015809656737,12.566370614357623,-1.0658141036401503e-14
1,cone,30,25,25,25,0,4500,1.0395523049824476,0.9206320892361016,0.002401627972591314,0.004559649802143665,12.566370614357638,3.552713678800501e-15
2,cone,30,25,25,25,0,4500,0.9206320892361016,0.8197783920791895,0.002389991319928446,0.006809777531399085,12.566370614357634,0.0
3,cone,30,25,28,25,0,4500,0.8197783920791895,0.7346658457905528,0.00237975900328202,0.008892506250532974,12.566370614357623,-1.0658141036401503e-14
4,cone,30,28,28,25,0,5040,0.7346658457905528,0.6517111595638256,0.002178055184284278,0.011070507199220536,12.566370614357634,0.0
5,cone,30,28,28,25,0,5040,0.6517111595638256,0.625835870974841,0.0008763978161811332,0.011217019928576929,12.56637061435763,-3.552713678800501e-15
6,cone,30,28,28,27,0,5040,0.625835870974841,0.621320214147634,0.001315570312697521,0.011261919607564097,12.566370614357636,1.7763568394002505e-15
7,cone,30,28,28,24,0,5040,0.621320214147634,0.6182994059077354,0.001400968771495929,0.011266798518491133,12.566370614357634,0.0
8,cone,30,28,28,21,0,5040,0.6182994059077354,0.6161995606453934,0.0011474852609205833,0.01134186800827114,12.56637061435763,-3.552713678800501e-15
9,cone,30,28,28,21,0,5040,0.6161995606453934,0.61468339716034,0.0009006466614151075,0.011931072834762513,12.566370614357632,-1.7763568394002505e-15
