iteration,direction_mode,ray_count,gray_before,gray_after,accepted_vertex_updates,sign_change_brackets,tested_candidates,energy_before,energy_after,max_step,max_cumulative_displacement,gauss_bonnet_sum,gauss_bonnet_residual
0,cone,30,533,222,373,1477,91052,14.15342319362764,4.201736324920923,0.0002488626548489249,0.00024886265484892696,-18.849555921547235,0.0
1,cone,30,222,205,102,535,34538,4.201736324920923,3.8291906685336916,0.0001942786319938869,0.00024886265484892696,-18.849555921547235,0.0
2,cone,30,205,207,74,445,31276,3.8291906685336916,3.701301063126004,0.0001476764709574544,0.00024886265484892696,-18.849555921547243,-7.105427357601002e-15
3,cone,30,207,203,61,477,31017,3.701301063126004,3.689669396508175,3.833980634609822e-05,0.00024886265484892696,-18.849555921547246,-1.0658141036401503e-14
4,cone,30,203,200,52,455,30115,3.689669396508175,3.6837154556913925,2.985901283765429e-05,0.00024886265484892696,-18.84955592154725,-1.4210854715202004e-14
5,cone,30,200,202,51,440,29454,3.6837154556913925,3.6793884648866997,3.8660591313243113e-05,0.00024886265484892696,-18.849555921547243,-7.105427357601002e-15
6,cone,30,202,202,54,456,29949,3.6793884648866997,3.665931499672769,8.240983758028633e-05,0.00024886265484892696,-18.84955592154725,-1.4210854715202004e-14
7,cone,30,202,202,47,441,29801,3.665931499672769,3.6632203557008167,3.076800716346681e-05,0.00024886265484892696,-18.849555921547246,-1.0658141036401503e-14
8,cone,30,202,202,46,440,29813,3.6632203557008167,3.6601569992125427,2.8526094433269965e-05,0.00024886265484892696,-18.849555921547243,-7.105427357601002e-15
9,cone,30,202,202,44,441,29778,3.6601569992125427,3.658567718589554,1.96443004683831e-05,0.00024886265484892696,-18.849555921547243,-7.105427357601002e-15
