iteration,epsilon,target_count,gray_before,gray_after,positive_gray_after,negative_gray_after,movable_count,monitored_count,local_face_count,global_energy_before,global_energy_after,local_zero_energy,global_zero_energy,singular_preservation_energy,max_abs_defect_outside_singular,max_step,max_cumulative_displacement,max_relative_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_sum,gauss_bonnet_residual,accepted,backtracking_scale,optimizer_success,optimizer_message
0,0.1,533,533,364,189,175,2167,4415,11238,14.15342319362764,7.639893060414118,58.79770197980916,29.058099977301698,0.021834236495020976,0.8574886309867367,5.263981638563473e-05,5.263981638563473e-05,0.05290167494364505,0.6125761131763601,0.03561544498275346,-18.849555921547267,-3.197442310920451e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.1,364,364,275,148,127,1441,2996,7707,7.639893060414118,5.707302378461969,32.86074517544863,25.67336952292574,0.0479343749154985,0.8138914212108858,2.609062080072548e-05,7.872806987130999e-05,0.025587922673258885,0.23637117323154452,0.00841251006054463,-18.849555921547278,-4.263256414560601e-14,True,0.5,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
2,0.1,275,275,250,152,98,1009,2002,5101,5.707302378461969,3.2074589877069593,19.545550438074,21.703858356744597,0.13493729233021984,0.7278731798885543,5.1956564915539134e-05,0.00013068290340804409,0.05175361362336682,0.6525702487978137,0.00841251006054463,-18.84955592154725,-1.4210854715202004e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.1,250,250,222,129,93,898,1810,4634,3.2074589877069593,1.7723711625398728,16.337507925121066,19.242587985147477,0.2650236811502085,0.6391289584482603,5.776672976732301e-05,0.00018225062893598458,0.05618780293920213,0.9006803820318485,0.00841251006054463,-18.849555921547267,-3.197442310920451e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
4,0.1,222,222,195,108,87,844,1700,4329,1.7723711625398728,1.6395848168585405,15.781555520150485,18.96876925869077,0.2840166204666476,0.6288929778009954,7.242520901512853e-06,0.00018865474468895957,0.007313622632945837,0.8228793536776842,0.00841251006054463,-18.849555921547285,-4.973799150320701e-14,True,0.125,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,0.1,195,195,195,106,89,708,1389,3503,1.6395848168585405,1.6084064032316199,15.097698893734563,18.909512506624964,0.2889678881312998,0.6263404052261382,1.8115741297014242e-06,0.00019025445339500643,0.0018086615821299645,0.9453481241744286,0.00841251006054463,-18.84955592154726,-2.4868995751603507e-14,True,0.03125,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.1,195,195,173,97,76,693,1358,3422,1.6084064032316199,1.378269239066025,14.540753941445463,18.485878412373022,0.33025548149348805,0.6059519016374686,1.4494198403582685e-05,0.00020304993667387796,0.01471920241979083,0.9500092270748196,0.00841251006054463,-18.849555921547243,-7.105427357601002e-15,True,0.25,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.1,173,173,170,93,77,610,1225,3111,1.378269239066025,0.7562426686199768,13.00256127741154,17.42449721949776,0.5281718426478221,0.5242570802318074,5.802944174046011e-05,0.0002541542272146884,0.058368706071958626,0.9315776724023309,0.00841251006054463,-18.849555921547285,-4.973799150320701e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.1,170,170,164,90,74,618,1209,3058,0.7562426686199768,0.7354705704031265,12.415968131909846,17.373827869846117,0.5285206919051831,0.5194315762555851,1.2140258292994082e-05,0.00025641273669485385,0.007360877320820404,0.9791144411773788,0.00841251006054463,-18.84955592154729,-5.3290705182007514e-14,True,0.25,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
9,0.1,164,164,156,89,67,579,1125,2843,0.7354705704031265,0.6756905161397555,12.012536027030851,17.25064414138428,0.527564832418603,0.5028588712512377,4.858689216611821e-05,0.0002631904067920842,0.029394421345802994,0.9549067120395056,0.00841251006054463,-18.849555921547253,-1.7763568394002505e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
