vertex,x,y,z,angle_defect_radians
14,-0.032497,0.174231,-0.00239,-0.10750804855589813
123,-0.030533,0.178655,-0.005654,-0.1449720005926871
124,-0.028415,0.178753,-0.005949,0.1057496720520057
280,-0.030085,0.179019,-0.005896,0.15013627206868385
327,-0.02744,0.180304,-0.007157,0.19310173204263714
360,-0.039491,0.0423,0.041629,-0.13857370282551895
468,-0.039497,0.043699,0.041313,-0.30822948666504113
469,-0.038489,0.043651,0.040996,0.6197174264007892
509,0.003503,0.044165,0.045871,0.10431502262098835
510,0.0045,0.044184,0.04598,-0.15778134921928544
512,0.006503,0.044152,0.045742,-0.12046963140406608
657,-0.025427,0.181837,-0.008923,0.2131572419965092
693,-0.036507,0.046443,0.040201,0.10800108556814147
717,-0.012498,0.047201,0.047981,-0.13497753745122965
720,-0.009497,0.04717,0.047803,-0.14026804055910835
721,-0.008519,0.047123,0.047663,0.2241568627098247
775,-0.02559,0.182763,-0.010509,-0.2470372719274737
776,-0.024551,0.183147,-0.010424,0.1090839777687379
809,-0.036504,0.047808,0.039589,-0.12413957214207372
810,-0.035528,0.04785,0.03964,0.15400638757535812
828,-0.017497,0.048594,0.047882,-0.1484167709870795
829,-0.016497,0.048574,0.047634,0.1491705554337942
831,-0.014497,0.048599,0.04788,-0.14240746379163516
893,-0.035464,0.172718,-0.000343,0.15895500539151786
894,-0.02246,0.183226,-0.011512,-0.10036305781259092
910,-0.051508,0.049036,0.037644,-0.3001048094307326
911,-0.050555,0.049087,0.03731,0.12886711903410397
929,-0.006796,0.100851,0.04565,-0.12779977287370015
938,-0.021497,0.049884,0.046616,-0.17941291241589763
939,-0.020508,0.049871,0.046386,0.10280455251596199
941,-0.018511,0.049906,0.046784,-0.13270661028614372
942,-0.0175,0.049922,0.047006,0.11641717764561932
943,-0.016503,0.049958,0.04739,-0.11723867224031559
947,-0.012533,0.050238,0.050201,0.10884629824851383
1049,-0.020511,0.051206,0.045618,-0.24192046776439047
1050,-0.019507,0.051275,0.046374,-0.15256076714427835
1069,-0.000497,0.052034,0.054152,0.14939416893435653
1075,0.005506,0.051931,0.05307,0.10411956185275018
1182,-0.000498,0.053507,0.054735,0.11920035863392053
1309,-0.03351,0.175675,-0.003153,-0.13420174976148957
1319,-0.030474,0.177281,-0.004356,0.2599995306809184
1516,0.000501,0.057674,0.054589,-0.14238699334724558
1572,-0.022565,0.184728,-0.0123,0.3819941530394082
1626,-0.0005,0.059072,0.054883,-0.10307265048902936
1844,-0.003496,0.061941,0.055685,-0.10246439759106729
1887,0.041511,0.059671,0.03035,-0.10005861716627412
