vertex,angle_defect_radians,gaussian_curvature,reason
14,-0.107508048556,-50157.5034278,angle_defect
123,-0.144972000593,-128772.361159,angle_defect
124,0.105749672052,45775.1400063,angle_defect
280,0.150136272069,73711.4008381,angle_defect
327,0.193101732043,149202.928132,angle_defect
360,-0.138573702826,-76104.4409999,angle_defect
468,-0.308229486665,-197311.435891,angle_defect
469,0.619717426401,519626.970508,angle_defect
509,0.104315022621,47935.6570753,angle_defect
510,-0.157781349219,-56533.7222429,angle_defect
512,-0.120469631404,-57772.3176775,angle_defect
657,0.213157241997,109791.883935,angle_defect
693,0.108001085568,84210.3371072,angle_defect
717,-0.134977537451,-81318.1220674,angle_defect
720,-0.140268040559,-73967.723811,angle_defect
721,0.22415686271,118882.619359,angle_defect
775,-0.247037271927,-182390.272599,angle_defect
776,0.109083977769,80603.6754997,angle_defect
809,-0.124139572142,-85479.6543414,angle_defect
810,0.154006387575,139849.103633,angle_defect
828,-0.148416770987,-64319.6968157,angle_defect
829,0.149170555434,95096.7227394,angle_defect
831,-0.142407463792,-86780.9164124,angle_defect
893,0.158955005392,121223.098352,angle_defect
894,-0.100363057813,-48210.83386,angle_defect
910,-0.300104809431,-167390.401081,angle_defect
911,0.128867119034,62153.4924945,angle_defect
929,-0.127799772874,-57876.1236468,angle_defect
938,-0.179412912416,-62611.7402169,angle_defect
939,0.102804552516,47663.4939679,angle_defect
941,-0.132706610286,-75855.4939103,angle_defect
942,0.116417177646,78956.986761,angle_defect
943,-0.11723867224,-56758.6295493,angle_defect
947,0.108846298249,54634.7006232,angle_defect
1049,-0.241920467764,-125725.682343,angle_defect
1050,-0.152560767144,-69837.1504811,angle_defect
1069,0.149394168934,80855.3909863,angle_defect
1075,0.104119561853,60347.0690286,angle_defect
1182,0.119200358634,75774.1918003,angle_defect
1309,-0.134201749761,-97860.8041495,angle_defect
1319,0.259999530681,177776.905808,angle_defect
1516,-0.142386993347,-82364.2561887,angle_defect
1572,0.381994153039,122957.518636,angle_defect
1626,-0.103072650489,-58009.5079804,angle_defect
1791,2.72931480322,214887359.208,angle_defect
1844,-0.102464397591,-59924.2778202,angle_defect
1874,-0.182911733893,-350608.438195,angle_defect
1887,-0.100058617166,-53804.9238687,angle_defect
2022,0.155739688883,83693.9783277,angle_defect
2026,-0.137081713946,-56901.7819112,angle_defect
2119,0.22180618556,235080.533714,angle_defect
2169,0.199172917221,98696.519889,angle_defect
2329,-0.118116721558,-64878.3953603,angle_defect
2387,-0.10085158307,-53639.2417268,angle_defect
2517,0.147741796623,92291.2727288,angle_defect
2518,-0.109872955513,-56483.1715054,angle_defect
2724,0.101189936346,51275.1013357,angle_defect
3177,-0.108721226116,-71957.5085072,angle_defect
3560,-0.137568509626,-70551.5124052,angle_defect
3573,0.133423253144,52563.9001671,angle_defect
3576,0.117788941202,73445.5515698,angle_defect
3682,0.151829538002,50516.9632492,angle_defect
3701,-0.121109891871,-83218.5876457,angle_defect
3745,0.151329923489,154242.001231,angle_defect
3818,0.216914163324,293586.457464,angle_defect
4006,-0.117774249735,-66410.3107208,angle_defect
4185,-0.149326900185,-72854.4457699,angle_defect
4276,-0.180700399576,-91772.1022624,angle_defect
4295,0.142276811128,144726.05123,angle_defect
4798,-0.220803047525,-148805.033332,angle_defect
4799,-0.14780497762,-107218.065909,angle_defect
4909,0.116079193881,120573.783476,angle_defect
4910,0.120619349387,78355.0782637,angle_defect
4931,0.225360825148,172701.552195,angle_defect
4932,-0.310115226134,-166249.820372,angle_defect
4986,0.20985159355,113254.312866,angle_defect
5065,0.159784450358,120654.498414,angle_defect
5066,0.199080648811,145737.033366,angle_defect
5458,-0.155379726441,-138750.121705,angle_defect
5590,-0.214988565039,-228432.460235,angle_defect
5594,-0.269000676282,-161000.608544,angle_defect
5599,-0.19522908269,-210038.204405,angle_defect
5600,-0.108322545836,-90710.7284461,angle_defect
5601,0.133910281122,73607.5124135,angle_defect
6014,0.100815879843,81221.2994444,angle_defect
6036,-0.151580618756,-63295.3429164,angle_defect
6164,0.128002424568,111473.915954,angle_defect
6166,-0.115385070957,-70800.5923612,angle_defect
6287,0.162435242261,88401.758354,angle_defect
6394,0.230032887291,121583.796045,angle_defect
6727,0.125995080584,74282.2583773,angle_defect
6801,0.101012506202,55222.8019662,angle_defect
7054,-0.101169007251,-44650.6260195,angle_defect
7178,-0.126168176838,-71702.4519532,angle_defect
7296,0.322554194807,342230.816157,angle_defect
7393,0.163301928593,81471.997908,angle_defect
7485,0.137880938596,87336.4750953,angle_defect
7493,-0.118603469028,-64596.5457847,angle_defect
7512,-0.110430224622,-47635.8018587,angle_defect
7694,0.379075229644,370532.170654,angle_defect
7810,0.234432267915,110428.132482,angle_defect
7835,-0.11720210008,-65171.9055032,angle_defect
7948,-0.273621021773,-134074.168608,angle_defect
7955,0.131406184358,85791.9372791,angle_defect
8138,-0.112666641719,-59544.3492965,angle_defect
8539,-0.102665506196,-64586.015392,angle_defect
8773,0.106536223137,76406.8382661,angle_defect
8978,-0.210065839775,-104511.782829,angle_defect
9061,0.141214525828,133480.790224,angle_defect
9067,-0.116297699373,-62249.7395057,angle_defect
9172,0.190876395198,156748.967782,angle_defect
9173,-0.200712828843,-97989.8360399,angle_defect
